0 1,12,1 13.0546,6,13.0546 0.785398
78 0.9,5,0.99 -0.5,2.5,9 0
79 0.9,5,0.99 0.5,2.5,0 0
80 0.9,5,0.99 0.5,2.5,1 0
81 0.9,5,0.99 0.5,2.5,2 0
82 0.9,5,0.99 0.5,2.5,3 0
83 0.9,5,0.99 0.5,2.5,4 0
84 0.9,5,0.99 0.5,2.5,5 0
85 0.9,5,0.99 0.5,2.5,6 0
86 0.9,5,0.99 0.5,2.5,7 0
87 0.9,5,0.99 0.5,2.5,8 0
88 0.9,5,0.99 0.5,2.5,9 0
89 0.9,5,0.99 1.5,3.4,0 0
90 0.9,5,0.99 1.5,2.5,1 0
91 0.9,5,0.99 1.5,2.5,2 0
92 0.9,5,0.99 1.5,2.5,3 0
93 0.9,5,0.99 1.5,2.5,4 0
94 0.9,5,0.99 1.5,5.24,5 0
95 0.9,5,0.99 1.5,2.5,6 0
96 0.9,5,0.99 1.5,2.5,7 0
97 0.9,5,0.99 1.5,2.5,8 0
98 0.9,5,0.99 1.5,2.5,9 0
99 0.9,5,0.99 2.5,2.5,0 0
100 0.9,5,0.99 2.5,2.5,1 0
101 0.9,5,0.99 2.5,2.5,2 0
102 0.9,5,0.99 2.5,2.5,3 0
103 0.9,5,0.99 2.5,2.5,4 0
104 0.9,5,0.99 2.5,2.5,5 0
105 0.9,5,0.99 2.5,2.5,6 0
106 0.9,5,0.99 2.5,2.5,7 0
107 0.9,5,0.99 2.5,2.5,8 0
108 0.9,5,0.99 2.5,2.5,9 0
109 0.9,5,0.99 3.5,2.5,0 0
110 0.9,5,0.99 3.5,2.5,1 0
111 0.9,5,0.99 3.5,2.5,2 0
112 0.9,5,0.99 3.5,2.5,3 0
113 0.9,5,0.99 3.5,2.5,4 0
114 0.9,5,0.99 3.5,3.52,5 0
115 0.9,5,0.99 3.5,2.5,6 0
116 0.9,5,0.99 3.5,2.5,7 0
117 0.9,5,0.99 3.5,2.5,8 0
118 0.9,5,0.99 3.5,2.5,9 0
119 0.9,3,0.99 -7.5,1.5,10 0
120 0.9,3,0.99 -7.5,1.5,11 0
121 0.9,3,0.99 -7.5,1.5,12 0
122 0.9,3,0.99 -7.5,1.5,13 0
123 0.9,3,0.99 -6.5,1.5,10 0
124 0.9,3,0.99 -6.5,1.5,11 0
125 0.9,3,0.99 -6.5,1.5,12 0
126 0.9,3,0.99 -6.5,1.5,13 0
127 0.9,3,0.99 -5.5,1.5,10 0
128 0.9,3,0.99 -5.5,1.5,11 0
129 0.9,3,0.99 -5.5,1.5,12 0
130 0.9,3,0.99 -5.5,1.5,13 0
131 0.9,3,0.99 -4.5,1.5,10 0
132 0.9,3,0.99 -4.5,1.5,11 0
133 0.9,3,0.99 -4.5,1.5,12 0
134 0.9,3,0.99 -4.5,1.5,13 0
135 0.9,3,0.99 -3.5,1.5,10 0
136 0.9,3,0.99 -3.5,1.5,11 0
137 0.9,3,0.99 -3.5,1.5,12 0
138 0.9,3,0.99 -3.5,1.5,13 0
139 0.9,3,0.99 -2.5,1.5,10 0
140 0.9,3,0.99 -2.5,1.5,11 0
141 0.9,3,0.99 -2.5,1.5,12 0
142 0.9,3,0.99 -2.5,1.5,13 0
143 0.9,3,0.99 -1.5,1.5,10 0
144 0.9,3,0.99 -1.5,1.5,11 0
145 0.9,3,0.99 -1.5,1.5,12 0
146 0.9,3,0.99 -1.5,1.5,13 0
147 0.9,3,0.99 -0.5,1.5,10 0
148 0.9,3,0.99 -0.5,1.5,11 0
149 0.9,3,0.99 -0.5,1.5,12 0
150 0.9,3,0.99 -0.5,1.5,13 0
151 0.9,3,0.99 0.5,1.5,10 0
152 0.9,3,0.99 0.5,1.5,11 0
153 0.9,3,0.99 0.5,1.5,12 0
154 0.9,3,0.99 0.5,1.5,13 0
155 0.9,3,0.99 1.5,1.5,10 0
156 0.9,3,0.99 1.5,1.5,11 0
157 0.9,3,0.99 1.5,1.5,12 0
158 0.9,3,0.99 1.5,1.5,13 0
159 0.9,3,0.99 2.5,1.5,10 0
160 0.9,3,0.99 2.5,1.5,11 0
161 0.9,3,0.99 2.5,1.5,12 0
162 0.9,3,0.99 2.5,1.5,13 0
163 0.9,3,0.99 3.5,1.5,10 0
164 0.9,3,0.99 3.5,1.5,11 0
165 0.9,3,0.99 3.5,1.5,12 0
166 0.9,3,0.99 3.5,1.5,13 0
167 0.9,3,0.99 4.5,1.5,10 0
168 0.9,3,0.99 4.5,1.5,11 0
169 0.9,3,0.99 4.5,1.5,12 0
170 0.9,3,0.99 4.5,1.5,13 0
171 0.9,3,0.99 5.5,1.5,10 0
172 0.9,3,0.99 5.5,1.5,11 0
173 0.9,3,0.99 5.5,1.5,12 0
174 0.9,3,0.99 5.5,1.5,13 0
175 0.9,3,0.99 6.5,1.5,10 0
176 0.9,3,0.99 6.5,1.5,11 0
177 0.9,3,0.99 6.5,1.5,12 0
178 0.9,3,0.99 6.5,1.5,13 0
179 3,11,0.5 -13.3597,5.5,12 1.84816
180 3,11,0.5 -14.8594,5.5,11 1.84819
181 3,11,0.5 -16.3592,5.5,10 1.84822
182 3,11,0.5 -17.8589,5.5,9 1.84824
183 3,11,0.5 12.6413,5.5,12 1.84827
184 3,11,0.5 14.1416,5.5,11 1.8483
185 3,11,0.5 15.6417,5.5,10 1.84832
186 3,11,0.5 17.1419,5.5,9 1.84833
